age	education	marital-status	occupation	race	_row_id	income
37-80	12th,1st-4th,5th-6th,Assoc-acdm,9th,10th,Bachelors	Divorced,Separated,Widowed	Craft-repair,Tech-support,?,Priv-house-serv,Handlers-cleaners,Farming-fishing,Protective-serv	Amer-Indian-Eskimo,Asian-Pac-Islander,Other	21488	<=50K
37-80	12th,1st-4th,5th-6th,Assoc-acdm,9th,10th,Bachelors	Divorced,Separated,Widowed	Craft-repair,Tech-support,?,Priv-house-serv,Handlers-cleaners,Farming-fishing,Protective-serv	Amer-Indian-Eskimo,Asian-Pac-Islander,Other	21495	<=50K
37-80	12th,1st-4th,5th-6th,Assoc-acdm,9th,10th,Bachelors	Divorced,Separated,Widowed	Craft-repair,Tech-support,?,Priv-house-serv,Handlers-cleaners,Farming-fishing,Protective-serv	Amer-Indian-Eskimo,Asian-Pac-Islander,Other	25428	<=50K
37-80	12th,1st-4th,5th-6th,Assoc-acdm,9th,10th,Bachelors	Divorced,Separated,Widowed	Craft-repair,Tech-support,?,Priv-house-serv,Handlers-cleaners,Farming-fishing,Protective-serv	Amer-Indian-Eskimo,Asian-Pac-Islander,Other	29494	<=50K
37-80	12th,1st-4th,5th-6th,Assoc-acdm,9th,10th,Bachelors	Divorced,Separated,Widowed	Craft-repair,Tech-support,?,Priv-house-serv,Handlers-cleaners,Farming-fishing,Protective-serv	Amer-Indian-Eskimo,Asian-Pac-Islander,Other	31158	<=50K
37-80	12th,1st-4th,5th-6th,Assoc-acdm,9th,10th,Bachelors	Divorced,Separated,Widowed	Craft-repair,Tech-support,?,Priv-house-serv,Handlers-cleaners,Farming-fishing,Protective-serv	Amer-Indian-Eskimo,Asian-Pac-Islander,Other	31412	<=50K
37-80	12th,1st-4th,5th-6th,Assoc-acdm,9th,10th,Bachelors	Divorced,Separated,Widowed	Craft-repair,Tech-support,?,Priv-house-serv,Handlers-cleaners,Farming-fishing,Protective-serv	Amer-Indian-Eskimo,Asian-Pac-Islander,Other	31664	<=50K
37-80	12th,1st-4th,5th-6th,Assoc-acdm,9th,10th,Bachelors	Divorced,Separated,Widowed	Craft-repair,Tech-support,?,Priv-house-serv,Handlers-cleaners,Farming-fishing,Protective-serv	Amer-Indian-Eskimo,Asian-Pac-Islander,Other	33215	<=50K
37-80	12th,1st-4th,5th-6th,Assoc-acdm,9th,10th,Bachelors	Divorced,Separated,Widowed	Craft-repair,Tech-support,?,Priv-house-serv,Handlers-cleaners,Farming-fishing,Protective-serv	Amer-Indian-Eskimo,Asian-Pac-Islander,Other	42784	<=50K
37-80	12th,1st-4th,5th-6th,Assoc-acdm,9th,10th,Bachelors	Divorced,Separated,Widowed	Craft-repair,Tech-support,?,Priv-house-serv,Handlers-cleaners,Farming-fishing,Protective-serv	Amer-Indian-Eskimo,Asian-Pac-Islander,Other	43938	<=50K
37-80	12th,1st-4th,5th-6th,Assoc-acdm,9th,10th,Bachelors	Divorced,Separated,Widowed	Craft-repair,Tech-support,?,Priv-house-serv,Handlers-cleaners,Farming-fishing,Protective-serv	Amer-Indian-Eskimo,Asian-Pac-Islander,Other	44101	<=50K
37-80	12th,1st-4th,5th-6th,Assoc-acdm,9th,10th,Bachelors	Divorced,Separated,Widowed	Craft-repair,Tech-support,?,Priv-house-serv,Handlers-cleaners,Farming-fishing,Protective-serv	Amer-Indian-Eskimo,Asian-Pac-Islander,Other	15327	>50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	895	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	1244	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	1891	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	2065	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	2751	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	3192	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	3408	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	3628	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	3882	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	4182	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	4440	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	4898	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	5078	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	5098	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	5353	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	5789	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	6831	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	7051	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	7156	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	7513	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	8000	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	8100	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	8598	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	8760	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	9263	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	9264	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	11284	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	11607	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	11986	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	12424	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	13098	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	13332	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	13503	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	13520	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	14247	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	14297	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	14475	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	14505	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	15094	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	15345	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	15682	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	15715	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	16057	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	16428	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	16456	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	16645	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	16982	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	17047	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	17250	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	18094	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	18290	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	18608	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	18823	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	19476	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	19862	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	21260	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	22911	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	23149	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	23949	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	24698	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	24827	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	24930	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	25043	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	25189	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	25858	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	25947	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	26439	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	27815	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	28696	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	29066	<=50K
17-36	5th-6th,Assoc-voc,Assoc-acdm,HS-grad,10th,Some-college,Bachelors,11th	Married-spouse-absent,Widowed	Sales,Machine-op-inspct,Transport-moving,Priv-house-serv,Handlers-cleaners,Other-service,?	Black,White	29980	<=50K
